Adresse,Nom,Type,Commentaire,Adresse_ABS,Categorie
238.0,_11_UA_actual_R,REAL,Valeur réelle de la tension d'induit en V Méc. levage 1 / Méc. retenue,%DB102.DBD238,Télémesure
242.0,_11_Motor_temp_actual_R,REAL,Valeur réelle de température du moteur en °C Méc. levage 1 / Méc. retenue,%DB102.DBD242,Télémesure
246.0,_11_H_perm_R,REAL,Hauteur de levage admissible en m Méc. levage 1 / Méc. retenue,%DB102.DBD246,Télémesure
250.0,_11_H_height_actual_R,REAL,Valeur réelle de la hauteur de levag e en m (codeur absolu) Méc. levage 1 / Méc. retenue,%DB102.DBD250,Télémesure
254.0,_11_H_height_convert_R,REAL,Valeur réelle de la hauteur de levag e en m (entraînement) Méc. levage 1 / Méc. retenue,%DB102.DBD254,Télémesure
258.0,_11_V_allow_R1,REAL,Méc. levage: vitesse admissible en m /min Méc. levage 1 / Méc. retenue 1,%DB102.DBD258,Télémesure
262.0,_11_Press_brake_R,REAL,Pression de service pour le frein du méc. de levage Méc. levage 1 / Méc. retenue,%DB102.DBD262,Télémesure
266.0,_11_Grab_force,REAL,Force de traction benne pour mécanis me de fermeture Méc. levage 1 / Méc. retenue,%DB102.DBD266,Télémesure
270.0,_11_V_allow_R,REAL,Méc. levage: vitesse admissible en m /min Méc. levage 1 / Méc. retenue 2,%DB102.DBD270,Télémesure
274.0,_11_A_actual_R,REAL,Méc. levage: accélération en m/min2 Méc. levage 1 / Méc. retenue,%DB102.DBD274,Télémesure
278.0,_11_31_limit_test_activ,BOOL,Test de fin de course activé Méc. levage 1 / Méc. retenue,%DB102.DBX278.0,Télésignal
280.0,_11_Oil_temp_gear_R,REAL,Méc. levage 1: température de l'huil e du réducteur Méc. levage 1 / Méc. retenue,%DB102.DBD280,Télémesure
284.0,_11_H_height_park,REAL,Hauteur de levage: écart sécurité su ppl. à la tête de flèche stationer grue Méc. levage 1 / Méc. retenue,%DB102.DBD284,Télémesure
288.0,_11_H_height_sec_actual,REAL,Hauteur de levage: écart de sécurité actuel à la tête de flèche Méc. levage 1 / Méc. retenue,%DB102.DBD288,Télémesure
292.0,_11_Slack_rope_setpoint,REAL,Valeur de consigne régulation mou de câble transmise á l'entraînement Méc. levage 1 / Méc. retenue,%DB102.DBD292,Téléréglage
296.0,_11_Mot_temp,REAL,Méc. levage 1: température du moteur en degrés Celsius Méc. levage 1 / Méc. retenue,%DB102.DBD296,Télémesure
300.0,_11_P_required,REAL,Puissance nécessaire en charge à Vad mis. Méc. levage 1 / Méc. retenue,%DB102.DBD300,Télémesure
304.0,_11_M_required,REAL,Couple nécessaire en charge à Vadmis . Méc. levage 1 / Méc. retenue,%DB102.DBD304,Télémesure
308.0,_11_M_required_perc,REAL,Couple nécessaire en % en charge avec Vadmis. Méc. levage 1 / Méc. retenue,%DB102.DBD308,Télémesure
312.0,_11_n_allow_R,REAL,Mécanisme de levage: vitesse admissi ble en t/min Méc. levage 1 / Méc. retenue,%DB102.DBD312,Télémesure
316.0,_11_CMD_setp_TC_R,REAL,Valeur de consigne manipulateur pour levage Méc. levage 1 / Méc. retenue,%DB102.DBD316,Téléréglage
320.0,_11_CMD_setp_TC_I,INT,Manipulateur méc. levage 1: valeur brute de la valeur de consigne Méc. levage 1 / Méc. retenue,%DB102.DBW320,Téléréglage
322.0,_12_MS1_X_R,REAL,Ordre: lire et adapter valeur de con signe Méc. levage 2 / Méc. fermeture 1,%DB102.DBD322,Télémesure
