Adresse,Nom,Type,Commentaire,Adresse_ABS,Fonction,Categorie,Unité
4.0,Vi_blink_1,BOOL,Cadence: signe de vie de l’automate à la visualisation Sans fonction,%DB108.DBX4.0,Sans fonction,Télésignal,
4.1,Vi_quit_visu,BOOL,Quitter la visualisation Sans fonction,%DB108.DBX4.1,Sans fonction,Télésignal,
6.0,Vi_st_load_index,INT,"Code statistiques données prod ABCDE : AB=grutier,C=postes,DE=moyens préh ension Sans fonction",%DB108.DBW6,Sans fonction,Télémesure,
8.0,Vi_st_net_load,REAL,Charge nette pour les statistiques Sans fonction,%DB108.DBD8,Sans fonction,Télémesure,t
12.0,Vi_st_radius_lift_begin,REAL,Portée lors du levage de la charge Sans fonction,%DB108.DBD12,Sans fonction,Télémesure,m
16.0,Vi_st_angle_lift_begin,REAL,Angle d'orientation lors du relevage de la charge Sans fonction,%DB108.DBD16,Sans fonction,Télémesure,°
20.0,Vi_st_radius_lift_end,REAL,Portée lorsque la charge est déposée Sans fonction,%DB108.DBD20,Sans fonction,Télémesure,m
24.0,Vi_st_angle_lift_end,REAL,Angle d'orientation lorsque la charg e est déposée Sans fonction,%DB108.DBD24,Sans fonction,Télémesure,°
28.0,Vi_toggle_3S,BOOL,Bit de contrôle: impulsion de temps constante d’API à visualis. Sans fonction,%DB108.DBX28.0,Sans fonction,Téléréglage,
28.1,Vi_toggle_RS,BOOL,Toggle Bit: impulsion horaire consta nte de la visualisation à l’API Sans fonction,%DB108.DBX28.1,Sans fonction,Télécommande,
